Category: All categories

Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25)
North Carolina,28%,72%
Indiana,27%,73%
Kentucky,27%,73%
South Carolina,25%,75%
Tennessee,25%,75%
Alabama,28%,72%
Delaware,28%,72%
West Virginia,27%,73%
Pennsylvania,28%,72%
Ohio,25%,75%
Florida,28%,72%
Illinois,27%,73%
Connecticut,26%,74%
Utah,23%,77%
Georgia,26%,74%
Arkansas,24%,76%
Oklahoma,22%,78%
Texas,24%,76%
Nevada,23%,77%
Kansas,23%,77%
Rhode Island,26%,74%
Arizona,24%,76%
Maryland,26%,74%
Michigan,22%,78%
Idaho,22%,78%
Missouri,23%,77%
Virginia,26%,74%
New Jersey,27%,73%
Wisconsin,25%,75%
Mississippi,21%,79%
California,23%,77%
Louisiana,23%,77%
Iowa,22%,78%
North Dakota,22%,78%
Nebraska,21%,79%
Colorado,22%,78%
New Mexico,22%,78%
Oregon,21%,79%
New York,24%,76%
Washington,20%,80%
Massachusetts,25%,75%
Minnesota,20%,80%
New Hampshire,21%,79%
South Dakota,16%,84%
Wyoming,19%,81%
Maine,20%,80%
Vermont,20%,80%
Montana,16%,84%
Hawaii,17%,83%
Alaska,18%,82%
District of Columbia,20%,80%
